team,rating,,powerscore1,powerscore2,region,position,index,seed
Kentucky,0.9787,,100.07,93.18,1,1,1,1
Hampton,0.3131,,67.39,60.91,1,1,2,16
Cincinnati,0.8242,,82.36,76.37,1,2,3,8
Purdue,0.7825,,84.21,78.74,1,2,4,9
West Virginia,0.8539,,87.01,79,1,3,5,5
Buffalo,0.7759,,80.20,73.71,1,3,6,12
Maryland,0.8289,,85.50,78.96,1,4,7,4
Valparaiso,0.7499,,79.82,71.73,1,4,8,13
Butler,0.8624,,86.85,79.86,1,5,9,6
Texas,0.8725,,86.63,80.41,1,5,10,11
Notre Dame,0.9127,,88.95,85.61,1,6,11,3
Northeastern,0.598,,75.65,66.97,1,6,12,14
Wichita St.,0.9044,,87.38,80.95,1,7,13,7
Indiana,0.7762,,83.16,78.22,1,7,14,10
Kansas,0.9111,,89.90,83.07,1,8,15,2
New Mexico St.,0.6674,,74.45,66.45,1,8,16,15
Wisconsin,0.9615,,94.91,91.41,2,1,17,1
Coastal Carolina,0.5371,,73.96,65.11,2,1,18,16
Oregon,0.7973,,82.34,77.28,2,2,19,8
Oklahoma St.,0.8141,,84.07,75.64,2,2,20,9
Arkansas,0.8416,,85.82,79.99,2,3,21,5
Wofford,0.6617,,77.61,68.39,2,3,22,12
North Carolina,0.9019,,89.85,86.19,2,4,23,4
Harvard,0.7058,,78.02,72.68,2,4,24,13
Xavier,0.8518,,85.55,78.84,2,5,25,6
Mississippi,0.7996,,79.60,76.92,2,5,26,11
Baylor,0.9038,,89.25,81.77,2,6,27,3
Georgia St.,0.7345,,78.93,70.92,2,6,28,14
VCU,0.84,,83.65,77.37,2,7,29,7
Ohio St.,0.868,,87.80,82.92,2,7,30,10
Arizona,0.9674,,94.19,93.8,2,8,31,2
Texas Southern,0.4111,,70.36,57.59,2,8,32,15
Villanova,0.9571,,94.21,91.02,3,1,33,1
Lafayette,0.4284,,71.72,63.33,3,1,34,16
North Carolina St.,0.8111,,84.25,80.18,3,2,35,8
LSU,0.8006,,82.82,76.94,3,2,36,9
Northern Iowa,0.908,,85.82,78.95,3,3,37,5
Wyoming,0.6373,,77.14,70.34,3,3,38,12
Louisville,0.8756,,88.45,83.27,3,4,39,4
UC Irvine,0.656,,77.08,69.59,3,4,40,13
Providence,0.8458,,85.29,80.23,3,5,41,6
Dayton,0.8057,,82.17,74.7,3,5,42,11
Oklahoma,0.915,,89.42,83.7,3,6,43,3
Albany,0.5678,,74.90,66.19,3,6,44,14
Michigan St.,0.8786,,87.24,83.27,3,7,45,7
Georgia,0.8178,,83.39,77.6,3,7,46,10
Virginia,0.9587,,95.50,88.03,3,8,47,2
Belmont,0.5363,,73.85,67.29,3,8,48,15
Duke,0.9395,,95.15,90.37,4,1,49,1
Robert Morris,0.4629,,71.17,65.08,4,1,50,16
San Diego St.,0.8468,,83.93,77.44,4,2,51,8
St. John's,0.8019,,83.38,76.01,4,2,52,9
Utah,0.9275,,90.18,84.07,4,3,53,5
Stephen F. Austin,0.8183,,82.48,73.72,4,3,54,12
Georgetown,0.867,,86.01,79.66,4,4,55,4
Eastern Washingon,0.5618,,75.27,63.98,4,4,56,13
SMU,0.8734,,84.48,80.05,4,5,57,6
UCLA,0.8056,,81.97,79.58,4,5,58,11
Iowa St.,0.9047,,89.33,83.86,4,6,59,3
UAB,0.5979,,74.02,67.36,4,6,60,14
Iowa,0.8595,,85.53,82.76,4,7,61,7
Davidson,0.832,,85.28,78.05,4,7,62,10
Gonzaga,0.944,,93.25,85.23,4,8,63,2
North Dakota,0.5258,,62.05,65.61,4,8,64,15
